UF,COD. UF,COD. MUNIC,NOME DO MUNICÍPIO,POPULAÇÃO ESTIMADA
RO,11,00015,Alta Floresta D'Oeste,23167
RO,11,00023,Ariquemes,106168
RO,11,00031,Cabixi,5438
RO,11,00049,Cacoal,84813
RO,11,00056,Cerejeiras,16444
RO,11,00064,Colorado do Oeste,16227
RO,11,00072,Corumbiara,7567
RO,11,00080,Costa Marques,17855
RO,11,00098,Espigão D'Oeste,32047
RO,11,00106,Guajará-Mirim,45783
RO,11,00114,Jaru,51933
RO,11,00122,Ji-Paraná,127907
RO,11,00130,Machadinho D'Oeste,39097
RO,11,00148,Nova Brasilândia D'Oeste,20459
RO,11,00155,Ouro Preto do Oeste,36340
RO,11,00189,Pimenta Bueno,36434
RO,11,00205,Porto Velho,519531
RO,11,00254,Presidente Médici,19409
RO,11,00262,Rio Crespo,3723
RO,11,00288,Rolim de Moura,54702
RO,11,00296,Santa Luzia D'Oeste,6781
RO,11,00304,Vilhena,97448
RO,11,00320,São Miguel do Guaporé,22931
RO,11,00338,Nova Mamoré,29757
RO,11,00346,Alvorada D'Oeste,14722
RO,11,00379,Alto Alegre dos Parecis,13227
RO,11,00403,Alto Paraíso,20999
RO,11,00452,Buritis,38937
RO,11,00502,Novo Horizonte do Oeste,8751
RO,11,00601,Cacaulândia,6190
RO,11,00700,Campo Novo de Rondônia,14009
RO,11,00809,Candeias do Jamari,25983
RO,11,00908,Castanheiras,3119
RO,11,00924,Chupinguaia,10886
RO,11,00940,Cujubim,24226
RO,11,01005,Governador Jorge Teixeira,8095
RO,11,01104,Itapuã do Oeste,10272
RO,11,01203,Ministro Andreazza,9762
RO,11,01302,Mirante da Serra,11080
RO,11,01401,Monte Negro,15695
RO,11,01435,Nova União,7047
RO,11,01450,Parecis,5947
RO,11,01468,Pimenteiras do Oeste,2191
RO,11,01476,Primavera de Rondônia,2939
RO,11,01484,São Felipe D'Oeste,5280
RO,11,01492,São Francisco do Guaporé,19842
RO,11,01500,Seringueiras,11860
RO,11,01559,Teixeirópolis,4384
RO,11,01609,Theobroma,10494
RO,11,01708,Urupá,11665
RO,11,01757,Vale do Anari,11028
RO,11,01807,Vale do Paraíso,6998
AC,12,00013,Acrelândia,15020
AC,12,00054,Assis Brasil,7300
AC,12,00104,Brasiléia,25848
AC,12,00138,Bujari,10111
AC,12,00179,Capixaba,11456
AC,12,00203,Cruzeiro do Sul,87673
AC,12,00252,Epitaciolândia,18122
AC,12,00302,Feijó,34675
AC,12,00328,Jordão,8159
AC,12,00336,Mâncio Lima,18638
AC,12,00344,Manoel Urbano,9336
AC,12,00351,Marechal Thaumaturgo,18430
AC,12,00385,Plácido de Castro,19565
AC,12,00393,Porto Walter,11720
AC,12,00401,Rio Branco,401155
AC,12,00427,Rodrigues Alves,18504
AC,12,00435,Santa Rosa do Purus,6362
AC,12,00450,Senador Guiomard,22810
AC,12,00500,Sena Madureira,45177
AC,12,00609,Tarauacá,41976
AC,12,00708,Xapuri,19048
AC,12,00807,Porto Acre,18180
AM,13,00029,Alvarães,15860
AM,13,00060,Amaturá,11332
AM,13,00086,Anamã,13269
AM,13,00102,Anori,20538
AM,13,00144,Apuí,21583
AM,13,00201,Atalaia do Norte,19438
AM,13,00300,Autazes,38830
AM,13,00409,Barcelos,27364
AM,13,00508,Barreirinha,31593
AM,13,00607,Benjamin Constant,42020
AM,13,00631,Beruri,19258
AM,13,00680,Boa Vista do Ramos,18781
AM,13,00706,Boca do Acre,33976
AM,13,00805,Borba,40565
AM,13,00839,Caapiranga,12877
AM,13,00904,Canutama,15450
AM,13,01001,Carauari,28076
AM,13,01100,Careiro,37384
AM,13,01159,Careiro da Várzea,29595
AM,13,01209,Coari,84272
AM,13,01308,Codajás,28100
AM,13,01407,Eirunepé,34840
AM,13,01506,Envira,19668
AM,13,01605,Fonte Boa,18221
AM,13,01654,Guajará,16416
AM,13,01704,Humaitá,54001
AM,13,01803,Ipixuna,28933
AM,13,01852,Iranduba,47571
AM,13,01902,Itacoatiara,99955
AM,13,01951,Itamarati,7888
AM,13,02009,Itapiranga,9064
AM,13,02108,Japurá,3265
AM,13,02207,Juruá,14312
AM,13,02306,Jutaí,14753
AM,13,02405,Lábrea,45245
AM,13,02504,Manacapuru,96236
AM,13,02553,Manaquiri,31147
AM,13,02603,Manaus,2145444
AM,13,02702,Manicoré,54907
AM,13,02801,Maraã,18186
AM,13,02900,Maués,62755
AM,13,03007,Nhamundá,20899
AM,13,03106,Nova Olinda do Norte,36721
AM,13,03205,Novo Airão,18974
AM,13,03304,Novo Aripuanã,25237
AM,13,03403,Parintins,113168
AM,13,03502,Pauini,19329
AM,13,03536,Presidente Figueiredo,35352
AM,13,03569,Rio Preto da Eva,32577
AM,13,03601,Santa Isabel do Rio Negro,24436
AM,13,03700,Santo Antônio do Içá,21966
AM,13,03809,São Gabriel da Cachoeira,44816
AM,13,03908,São Paulo de Olivença,38515
AM,13,03957,São Sebastião do Uatumã,13685
AM,13,04005,Silves,9110
AM,13,04062,Tabatinga,64488
AM,13,04104,Tapauá,17299
AM,13,04203,Tefé,60154
AM,13,04237,Tonantins,18610
AM,13,04260,Uarini,13387
AM,13,04302,Urucará,16383
AM,13,04401,Urucurituba,22537
RR,14,00027,Amajari,12394
RR,14,00050,Alto Alegre,15638
RR,14,00100,Boa Vista,375374
RR,14,00159,Bonfim,12257
RR,14,00175,Cantá,17868
RR,14,00209,Caracaraí,21564
RR,14,00233,Caroebe,9950
RR,14,00282,Iracema,11600
RR,14,00308,Mucajaí,17528
RR,14,00407,Normandia,11045
RR,14,00456,Pacaraima,15580
RR,14,00472,Rorainópolis,29533
RR,14,00506,São João da Baliza,8052
RR,14,00605,São Luiz,7860
RR,14,00704,Uiramutã,10325
PA,15,00107,Abaetetuba,156292
PA,15,00131,Abel Figueiredo,7382
PA,15,00206,Acará,55513
PA,15,00305,Afuá,38863
PA,15,00347,Água Azul do Norte,27241
PA,15,00404,Alenquer,56480
PA,15,00503,Almeirim,34142
PA,15,00602,Altamira,113195
PA,15,00701,Anajás,28859
PA,15,00800,Ananindeua,525566
PA,15,00859,Anapu,27161
PA,15,00909,Augusto Corrêa,45516
PA,15,00958,Aurora do Pará,30896
PA,15,01006,Aveiro,16371
PA,15,01105,Bagre,30009
PA,15,01204,Baião,46416
PA,15,01253,Bannach,3310
PA,15,01303,Barcarena,122294
PA,15,01402,Belém,1485732
PA,15,01451,Belterra,17624
PA,15,01501,Benevides,61689
PA,15,01576,Bom Jesus do Tocantins,16841
PA,15,01600,Bonito,16038
PA,15,01709,Bragança,126436
PA,15,01725,Brasil Novo,15190
PA,15,01758,Brejo Grande do Araguaia,7392
PA,15,01782,Breu Branco,64738
PA,15,01808,Breves,101891
PA,15,01907,Bujaru,28832
PA,15,01956,Cachoeira do Piriá,33178
PA,15,02004,Cachoeira do Arari,23466
PA,15,02103,Cametá,136390
PA,15,02152,Canaã dos Carajás,36050
PA,15,02202,Capanema,68616
PA,15,02301,Capitão Poço,54179
PA,15,02400,Castanhal,198294
PA,15,02509,Chaves,23482
PA,15,02608,Colares,12040
PA,15,02707,Conceição do Araguaia,47734
PA,15,02756,Concórdia do Pará,32847
PA,15,02764,Cumaru do Norte,13179
PA,15,02772,Curionópolis,18014
PA,15,02806,Curralinho,33893
PA,15,02855,Curuá,14197
PA,15,02905,Curuçá,39540
PA,15,02939,Dom Eliseu,58956
PA,15,02954,Eldorado do Carajás,33674
PA,15,03002,Faro,7319
PA,15,03044,Floresta do Araguaia,20080
PA,15,03077,Garrafão do Norte,26020
PA,15,03093,Goianésia do Pará,39857
PA,15,03101,Gurupá,32991
PA,15,03200,Igarapé-Açu,38588
PA,15,03309,Igarapé-Miri,62355
PA,15,03408,Inhangapi,11559
PA,15,03457,Ipixuna do Pará,62455
PA,15,03507,Irituia,32504
PA,15,03606,Itaituba,101097
PA,15,03705,Itupiranga,53182
PA,15,03754,Jacareacanga,8899
PA,15,03804,Jacundá,58457
PA,15,03903,Juruti,56908
PA,15,04000,Limoeiro do Ajuru,28583
PA,15,04059,Mãe do Rio,29917
PA,15,04109,Magalhães Barata,8523
PA,15,04208,Marabá,275086
PA,15,04307,Maracanã,29429
PA,15,04406,Marapanim,28220
PA,15,04422,Marituba,129321
PA,15,04455,Medicilândia,31213
PA,15,04505,Melgaço,27415
PA,15,04604,Mocajuba,30736
PA,15,04703,Moju,80988
PA,15,04752,Mojuí dos Campos,15982
PA,15,04802,Monte Alegre,57900
PA,15,04901,Muaná,39783
PA,15,04950,Nova Esperança do Piriá,21291
PA,15,04976,Nova Ipixuna,16499
PA,15,05007,Nova Timboteua,15218
PA,15,05031,Novo Progresso,25758
PA,15,05064,Novo Repartimento,74602
PA,15,05106,Óbidos,51964
PA,15,05205,Oeiras do Pará,32168
PA,15,05304,Oriximiná,72160
PA,15,05403,Ourém,17721
PA,15,05437,Ourilândia do Norte,32319
PA,15,05486,Pacajá,46986
PA,15,05494,Palestina do Pará,7596
PA,15,05502,Paragominas,111764
PA,15,05536,Parauapebas,202882
PA,15,05551,Pau D'Arco,5557
PA,15,05601,Peixe-Boi,8073
PA,15,05635,Piçarra,12983
PA,15,05650,Placas,30293
PA,15,05700,Ponta de Pedras,30608
PA,15,05809,Portel,61126
PA,15,05908,Porto de Moz,40458
PA,15,06005,Prainha,29886
PA,15,06104,Primavera,10792
PA,15,06112,Quatipuru,13512
PA,15,06138,Redenção,83997
PA,15,06161,Rio Maria,18186
PA,15,06187,Rondon do Pará,51903
PA,15,06195,Rurópolis,49503
PA,15,06203,Salinópolis,40424
PA,15,06302,Salvaterra,23424
PA,15,06351,Santa Bárbara do Pará,20704
PA,15,06401,Santa Cruz do Arari,9939
PA,15,06500,Santa Izabel do Pará,69746
PA,15,06559,Santa Luzia do Pará,19852
PA,15,06583,Santa Maria das Barreiras,21042
PA,15,06609,Santa Maria do Pará,24725
PA,15,06708,Santana do Araguaia,71187
PA,15,06807,Santarém,302667
PA,15,06906,Santarém Novo,6664
PA,15,07003,Santo Antônio do Tauá,31038
PA,15,07102,São Caetano de Odivelas,17970
PA,15,07151,São Domingos do Araguaia,25358
PA,15,07201,São Domingos do Capim,31837
PA,15,07300,São Félix do Xingu,124763
PA,15,07409,São Francisco do Pará,15833
PA,15,07458,São Geraldo do Araguaia,24991
PA,15,07466,São João da Ponta,6059
PA,15,07474,São João de Pirabas,22842
PA,15,07508,São João do Araguaia,13940
PA,15,07607,São Miguel do Guamá,58328
PA,15,07706,São Sebastião da Boa Vista,26301
PA,15,07755,Sapucaia,5849
PA,15,07805,Senador José Porfírio,11839
PA,15,07904,Soure,25181
PA,15,07953,Tailândia,103664
PA,15,07961,Terra Alta,11591
PA,15,07979,Terra Santa,18619
PA,15,08001,Tomé-Açu,62854
PA,15,08035,Tracuateua,30656
PA,15,08050,Trairão,18807
PA,15,08084,Tucumã,39059
PA,15,08100,Tucuruí,112148
PA,15,08126,Ulianópolis,57632
PA,15,08159,Uruará,45517
PA,15,08209,Vigia,53191
PA,15,08308,Viseu,61049
PA,15,08357,Vitória do Xingu,14987
PA,15,08407,Xinguara,44410
AP,16,00055,Serra do Navio,5306
AP,16,00105,Amapá,9029
AP,16,00154,Pedra Branca do Amapari,15931
AP,16,00204,Calçoene,10926
AP,16,00212,Cutias,5864
AP,16,00238,Ferreira Gomes,7591
AP,16,00253,Itaubal,5387
AP,16,00279,Laranjal do Jari,49446
AP,16,00303,Macapá,493634
AP,16,00402,Mazagão,21206
AP,16,00501,Oiapoque,26627
AP,16,00535,Porto Grande,21484
AP,16,00550,Pracuúba,4993
AP,16,00600,Santana,119610
AP,16,00709,Tartarugalzinho,16855
AP,16,00808,Vitória do Jari,15605
TO,17,00251,Abreulândia,2564
TO,17,00301,Aguiarnópolis,6572
TO,17,00350,Aliança do Tocantins,5434
TO,17,00400,Almas,7131
TO,17,00707,Alvorada,8427
TO,17,01002,Ananás,9607
TO,17,01051,Angico,3417
TO,17,01101,Aparecida do Rio Negro,4741
TO,17,01309,Aragominas,5786
TO,17,01903,Araguacema,7016
TO,17,02000,Araguaçu,8567
TO,17,02109,Araguaína,177517
TO,17,02158,Araguanã,5663
TO,17,02208,Araguatins,35346
TO,17,02307,Arapoema,6670
TO,17,02406,Arraias,10601
TO,17,02554,Augustinópolis,18178
TO,17,02703,Aurora do Tocantins,3731
TO,17,02901,Axixá do Tocantins,9725
TO,17,03008,Babaçulândia,10662
TO,17,03057,Bandeirantes do Tocantins,3512
TO,17,03073,Barra do Ouro,4549
TO,17,03107,Barrolândia,5614
TO,17,03206,Bernardo Sayão,4469
