UF,Municipio,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
SE,POÇO VERDE,2.0,7.0,1.0,35.0,5.0,4.0,3.0,3.0,2.0,4.0,0.0
SE,PROPRIÁ,8.0,3.0,28.0,14.0,42.0,12.0,7.0,20.0,0.0,0.0,0.0
SE,RIACHUELO,0.0,6.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0
SE,RIACHÃO DO DANTAS,2.0,5.0,0.0,37.0,66.0,6.0,3.0,4.0,0.0,9.0,4.0
SE,RIBEIRÓPOLIS,0.0,0.0,0.0,4.0,4.0,0.0,3.0,7.0,0.0,2.0,1.0
SE,ROSÁRIO DO CATETE,2.0,5.0,6.0,4.0,6.0,3.0,0.0,0.0,0.0,0.0,1.0
SE,SALGADO,4.0,2.0,5.0,20.0,20.0,3.0,20.0,45.0,16.0,9.0,24.0
SE,SANTA LUZIA DO ITANHY,0.0,5.0,6.0,5.0,1.0,3.0,10.0,2.0,1.0,3.0,3.0
SE,SANTA ROSA DE LIMA,0.0,0.0,0.0,1.0,1.0,0.0,1.0,18.0,0.0,0.0,0.0
SE,SANTANA DO SÃO FRANCISCO,0.0,0.0,5.0,18.0,11.0,23.0,25.0,11.0,4.0,37.0,35.0
SE,SANTO AMARO DAS BROTAS,6.0,1.0,2.0,2.0,5.0,49.0,16.0,15.0,15.0,14.0,12.0
SE,SIMÃO DIAS,7.0,23.0,27.0,30.0,23.0,63.0,26.0,28.0,32.0,21.0,42.0
SE,SIRIRI,5.0,7.0,1.0,1.0,3.0,2.0,2.0,8.0,0.0,1.0,1.0
SE,SÃO CRISTÓVÃO,4.0,1.0,10.0,126.0,42.0,107.0,100.0,38.0,1.0,45.0,117.0
SE,SÃO DOMINGOS,1.0,0.0,2.0,0.0,55.0,5.0,0.0,11.0,4.0,0.0,0.0
SE,SÃO FRANCISCO,0.0,4.0,0.0,2.0,10.0,7.0,13.0,16.0,0.0,0.0,0.0
SE,SÃO MIGUEL DO ALEIXO,0.0,0.0,0.0,0.0,7.0,0.0,1.0,1.0,1.0,1.0,10.0
SE,TELHA,3.0,0.0,0.0,4.0,3.0,4.0,0.0,0.0,3.0,6.0,5.0
SE,TOBIAS BARRETO,2.0,15.0,4.0,56.0,52.0,31.0,5.0,15.0,0.0,4.0,5.0
SE,TOMAR DO GERU,4.0,10.0,5.0,37.0,20.0,22.0,9.0,6.0,3.0,5.0,7.0
SE,UMBAÚBA,6.0,14.0,5.0,48.0,37.0,20.0,25.0,14.0,36.0,9.0,20.0
