UF,Municipio,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
TO,GOIANORTE,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,7.0,0.0,4.0
TO,GOIATINS,3.0,0.0,2.0,0.0,28.0,16.0,41.0,46.0,45.0,28.0,16.0
TO,GUARAÍ,0.0,13.0,23.0,1.0,0.0,1.0,0.0,2.0,2.0,5.0,0.0
TO,GURUPI,0.0,27.0,279.0,1248.0,1524.0,699.0,55.0,56.0,55.0,28.0,17.0
TO,IPUEIRAS,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,7.0
TO,ITACAJÁ,0.0,0.0,0.0,3.0,9.0,4.0,2.0,35.0,43.0,0.0,0.0
TO,ITAGUATINS,0.0,0.0,0.0,0.0,0.0,12.0,5.0,1.0,1.0,2.0,4.0
TO,ITAPIRATINS,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,4.0
TO,ITAPORÃ DO TOCANTINS,1.0,2.0,2.0,22.0,29.0,81.0,36.0,0.0,68.0,86.0,75.0
TO,JAÚ DO TOCANTINS,0.0,131.0,341.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO,JUARINA,4.0,15.0,16.0,10.0,12.0,12.0,5.0,3.0,0.0,2.0,13.0
TO,LAGOA DA CONFUSÃO,2.0,13.0,3.0,10.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0
TO,LAGOA DO TOCANTINS,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
TO,LAJEADO,0.0,0.0,2.0,1.0,1.0,0.0,6.0,10.0,27.0,21.0,0.0
TO,LAVANDEIRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0
TO,LIZARDA,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
TO,LUZINÓPOLIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
TO,MARIANÓPOLIS DO TOCANTINS,4.0,8.0,2.0,15.0,6.0,3.0,0.0,0.0,0.0,1.0,1.0
TO,MATEIROS,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,7.0,1.0
TO,MAURILÂNDIA DO TOCANTINS,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,1.0
TO,MIRACEMA DO TOCANTINS,0.0,1.0,7.0,19.0,40.0,22.0,15.0,6.0,51.0,67.0,13.0
TO,MIRANORTE,6.0,96.0,104.0,53.0,16.0,3.0,0.0,0.0,3.0,3.0,4.0
TO,MONTE DO CARMO,0.0,0.0,0.0,2.0,5.0,4.0,0.0,0.0,0.0,0.0,1.0
TO,MONTE SANTO DO TOCANTINS,0.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,0.0,2.0,0.0
TO,MURICILÂNDIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9.0
TO,NATIVIDADE,8.0,2.0,1.0,1.0,8.0,3.0,0.0,0.0,0.0,3.0,15.0
TO,NAZARÉ,0.0,0.0,2.0,44.0,107.0,75.0,8.0,1.0,0.0,0.0,2.0
TO,NOVA OLINDA,0.0,0.0,36.0,8.0,0.0,79.0,7.0,1.0,0.0,17.0,6.0
TO,NOVA ROSALÂNDIA,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
TO,NOVO ACORDO,0.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,11.0,6.0
TO,NOVO ALEGRE,1.0,2.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
TO,NOVO JARDIM,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
TO,PALMAS,40.0,27.0,88.0,60.0,47.0,26.0,6.0,1.0,7.0,159.0,171.0
TO,PALMEIRANTE,2.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,19.0,7.0
TO,PALMEIRAS DO TOCANTINS,0.0,0.0,9.0,7.0,4.0,7.0,0.0,0.0,0.0,2.0,4.0
TO,PALMEIRÓPOLIS,0.0,247.0,194.0,26.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0
TO,PARANÃ,1.0,0.0,0.0,0.0,12.0,22.0,0.0,0.0,1.0,1.0,0.0
TO,PARAÍSO DO TOCANTINS,5.0,15.0,15.0,33.0,21.0,36.0,12.0,3.0,0.0,6.0,7.0
TO,PAU D'ARCO,0.0,0.0,3.0,2.0,68.0,10.0,3.0,5.0,0.0,2.0,9.0
TO,PEDRO AFONSO,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,11.0
TO,PEIXE,0.0,225.0,280.0,1.0,7.0,1.0,1.0,0.0,0.0,5.0,3.0
TO,PEQUIZEIRO,0.0,0.0,2.0,2.0,2.0,1.0,3.0,0.0,0.0,2.0,3.0
TO,PINDORAMA DO TOCANTINS,0.0,0.0,18.0,24.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0
TO,PIRAQUÊ,0.0,0.0,2.0,1.0,4.0,3.0,2.0,6.0,8.0,7.0,0.0
TO,PIUM,2.0,2.0,6.0,3.0,4.0,0.0,0.0,1.0,0.0,2.0,3.0
TO,PONTE ALTA DO BOM JESUS,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,5.0,37.0
TO,PONTE ALTA DO TOCANTINS,14.0,0.0,3.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,12.0
TO,PORTO ALEGRE DO TOCANTINS,0.0,1.0,3.0,15.0,4.0,11.0,1.0,0.0,2.0,0.0,1.0
TO,PORTO NACIONAL,12.0,10.0,30.0,19.0,13.0,12.0,32.0,46.0,9.0,31.0,23.0
TO,PRAIA NORTE,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO,PRESIDENTE KENNEDY,0.0,0.0,0.0,3.0,0.0,5.0,10.0,0.0,0.0,0.0,1.0
TO,PUGMIL,8.0,1.0,0.0,30.0,7.0,6.0,3.0,0.0,0.0,0.0,0.0
TO,RECURSOLÂNDIA,0.0,0.0,0.0,13.0,1.0,16.0,0.0,3.0,0.0,0.0,0.0
TO,RIACHINHO,0.0,0.0,8.0,1.0,22.0,30.0,2.0,0.0,0.0,0.0,1.0
TO,RIO DA CONCEIÇÃO,24.0,36.0,18.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,5.0
TO,RIO DOS BOIS,1.0,0.0,0.0,3.0,21.0,10.0,37.0,19.0,76.0,42.0,2.0
TO,RIO SONO,0.0,2.0,0.0,7.0,0.0,11.0,3.0,0.0,0.0,0.0,0.0
TO,SAMPAIO,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0
TO,SANDOLÂNDIA,7.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO,SANTA FÉ DO ARAGUAIA,0.0,0.0,9.0,33.0,28.0,6.0,1.0,1.0,0.0,9.0,5.0
TO,SANTA MARIA DO TOCANTINS,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO,SANTA RITA DO TOCANTINS,1.0,1.0,1.0,0.0,16.0,1.0,3.0,0.0,0.0,1.0,2.0
TO,SANTA ROSA DO TOCANTINS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
TO,SANTA TEREZA DO TOCANTINS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0
TO,SANTA TEREZINHA DO TOCANTINS,0.0,0.0,1.0,4.0,13.0,2.0,0.0,0.0,0.0,1.0,1.0
TO,SILVANÓPOLIS,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0
TO,SUCUPIRA,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO,SÃO BENTO DO TOCANTINS,0.0,0.0,0.0,11.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0
TO,SÃO FÉLIX DO TOCANTINS,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO,SÃO MIGUEL DO TOCANTINS,2.0,2.0,2.0,2.0,6.0,21.0,6.0,1.0,0.0,1.0,1.0
TO,SÃO SALVADOR DO TOCANTINS,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
TO,SÃO SEBASTIÃO DO TOCANTINS,0.0,1.0,0.0,8.0,0.0,2.0,0.0,1.0,0.0,3.0,2.0
TO,SÃO VALÉRIO,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
TO,SÍTIO NOVO DO TOCANTINS,9.0,42.0,12.0,2.0,21.0,97.0,71.0,104.0,6.0,9.0,22.0
TO,TAGUATINGA,0.0,3.0,0.0,2.0,4.0,17.0,5.0,1.0,0.0,5.0,7.0
TO,TAIPAS DO TOCANTINS,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,6.0,13.0
TO,TALISMÃ,0.0,37.0,31.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
TO,TOCANTINÓPOLIS,0.0,3.0,22.0,21.0,48.0,55.0,37.0,21.0,4.0,8.0,12.0
TO,TOCANTÍNIA,0.0,2.0,33.0,17.0,4.0,11.0,7.0,7.0,15.0,4.0,5.0
TO,TUPIRAMA,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0
TO,WANDERLÂNDIA,0.0,0.0,51.0,46.0,33.0,33.0,1.0,34.0,50.0,110.0,70.0
TO,XAMBIOÁ,1.0,0.0,6.0,9.0,1.0,2.0,2.0,0.0,3.0,24.0,15.0
